
========== fold: 0 training ==========
Train Epoch: 8 [640/3825(17%)]	Loss: 0.45781970
Train Epoch: 8 [960/3825(25%)]	Loss: 0.59811670
Train Epoch: 8 [1280/3825(33%)]	Loss: 0.56994629
Train Epoch: 8 [1600/3825(42%)]	Loss: 0.42188346
Train Epoch: 8 [1920/3825(50%)]	Loss: 0.44183204
Train Epoch: 8 [2240/3825(58%)]	Loss: 0.43890637
Train Epoch: 8 [2560/3825(67%)]	Loss: 0.65404105
Train Epoch: 8 [2880/3825(75%)]	Loss: 0.25906709
Train Epoch: 8 [3200/3825(83%)]	Loss: 0.28857434
Train Epoch: 8 [3520/3825(92%)]	Loss: 0.36636668
Train Mean Loss : 0.49433322,	Train Accuracy: 80.73,	Time : 385.21 sec	 LR : 0.00006247
Train Epoch: 9 [0/3825(0%)]	Loss: 0.67383838
Train Epoch: 9 [320/3825(8%)]	Loss: 0.42267534
Train Epoch: 9 [640/3825(17%)]	Loss: 0.45433390
Train Epoch: 9 [960/3825(25%)]	Loss: 0.54446381
Train Epoch: 9 [1280/3825(33%)]	Loss: 0.35031790
Train Epoch: 9 [1600/3825(42%)]	Loss: 0.41327551
Train Epoch: 9 [1920/3825(50%)]	Loss: 0.43762529
Train Epoch: 9 [2240/3825(58%)]	Loss: 0.48491141
Train Epoch: 9 [2560/3825(67%)]	Loss: 0.70555663
Train Epoch: 9 [2880/3825(75%)]	Loss: 0.59753984
Train Epoch: 9 [3200/3825(83%)]	Loss: 0.34633932
Train Epoch: 9 [3520/3825(92%)]	Loss: 0.58868712
Train Mean Loss : 0.52823213,	Train Accuracy: 79.27,	Time : 381.01 sec	 LR : 0.00001156
Train Epoch: 10 [0/3825(0%)]	Loss: 0.63812345
Train Epoch: 10 [320/3825(8%)]	Loss: 0.38462055
Train Epoch: 10 [640/3825(17%)]	Loss: 0.43424958
Train Epoch: 10 [960/3825(25%)]	Loss: 0.89287513
Train Epoch: 10 [1280/3825(33%)]	Loss: 0.30091247
Train Epoch: 10 [1600/3825(42%)]	Loss: 0.48544362
Train Epoch: 10 [1920/3825(50%)]	Loss: 0.46397528
Train Epoch: 10 [2240/3825(58%)]	Loss: 0.27778107
Train Epoch: 10 [2560/3825(67%)]	Loss: 0.63178384
Train Epoch: 10 [2880/3825(75%)]	Loss: 0.55104923
Train Epoch: 10 [3200/3825(83%)]	Loss: 0.57774979
Train Epoch: 10 [3520/3825(92%)]	Loss: 0.40297136
Train Mean Loss : 0.48858315,	Train Accuracy: 81.15,	Time : 376.89 sec	 LR : 0.00009990

========== Validation ==========
Average loss: 0.67389374, Accuracy: 2884/3826 (75.38%)
Save the best acc model, loss = 0.673894, acc = 75.378986
Save the best loss model, loss = 0.673894, acc = 75.378986
Train Epoch: 11 [0/3825(0%)]	Loss: 1.09244752
Train Epoch: 11 [320/3825(8%)]	Loss: 0.38952875
Train Epoch: 11 [640/3825(17%)]	Loss: 0.69128436
Train Epoch: 11 [960/3825(25%)]	Loss: 0.42922500
Train Epoch: 11 [1280/3825(33%)]	Loss: 0.30268535
Train Epoch: 11 [1600/3825(42%)]	Loss: 0.38640627
Train Epoch: 11 [1920/3825(50%)]	Loss: 0.41219676
Train Epoch: 11 [2240/3825(58%)]	Loss: 0.43092504
Train Epoch: 11 [2560/3825(67%)]	Loss: 0.57771158
Train Epoch: 11 [2880/3825(75%)]	Loss: 0.22566430
Train Epoch: 11 [3200/3825(83%)]	Loss: 0.34726429
Train Epoch: 11 [3520/3825(92%)]	Loss: 0.38253537
Train Mean Loss : 0.48788016,	Train Accuracy: 81.33,	Time : 387.29 sec	 LR : 0.00000788
Train Epoch: 12 [0/3825(0%)]	Loss: 0.52482092
Train Epoch: 12 [320/3825(8%)]	Loss: 0.35862079
Train Epoch: 12 [640/3825(17%)]	Loss: 0.37920019
Train Epoch: 12 [960/3825(25%)]	Loss: 0.62182647
Train Epoch: 12 [1280/3825(33%)]	Loss: 0.55254245
Train Epoch: 12 [1600/3825(42%)]	Loss: 0.42405015
Train Epoch: 12 [1920/3825(50%)]	Loss: 0.45939443
Train Epoch: 12 [2240/3825(58%)]	Loss: 0.63036108
Train Epoch: 12 [2560/3825(67%)]	Loss: 0.28087571
Train Epoch: 12 [2880/3825(75%)]	Loss: 0.37260255
Train Epoch: 12 [3200/3825(83%)]	Loss: 0.78923756
Train Epoch: 12 [3520/3825(92%)]	Loss: 0.70154071
Train Mean Loss : 0.47535586,	Train Accuracy: 81.88,	Time : 393.00 sec	 LR : 0.00006844
Train Epoch: 13 [0/3825(0%)]	Loss: 0.46824726
Train Epoch: 13 [320/3825(8%)]	Loss: 0.49092594
Train Epoch: 13 [640/3825(17%)]	Loss: 0.36652970
